DC_full_loss_train,DC_full_acc_test,DC_full_loss_test
2.3642475605010986,0.0984,2.3169212341308594
2.433225631713867,0.1004,2.350813388824463
2.643481492996216,0.0679,2.3577797412872314
2.7854318618774414,0.0376,2.4651055335998535
3.0130045413970947,0.0555,2.581393241882324
3.212204694747925,0.0765,2.522432565689087
3.0090553760528564,0.0377,2.492687225341797
3.0424182415008545,0.0836,2.4517476558685303
3.0125370025634766,0.0904,2.5043556690216064
2.968740224838257,0.0987,2.599289894104004
3.0786006450653076,0.0931,2.5382988452911377
3.266990900039673,0.1044,2.7498645782470703
3.6902966499328613,0.0794,2.8005170822143555
3.844106435775757,0.0976,2.8428080081939697
3.8503949642181396,0.1061,3.201348066329956
4.1020588874816895,0.1221,3.3041090965270996
3.8528759479522705,0.1337,3.512052059173584
3.7011878490448,0.1339,3.6911981105804443
3.7892043590545654,0.1163,4.5417633056640625
3.6154162883758545,0.0761,4.7745208740234375
3.6059982776641846,0.0847,4.202438831329346
3.996382236480713,0.0969,4.175326824188232
4.218440532684326,0.1317,3.7990987300872803
4.056380748748779,0.1035,3.8831124305725098
4.014945983886719,0.0758,4.802872180938721
4.276400566101074,0.0809,4.4957051277160645
4.147816181182861,0.1373,4.6204681396484375
4.305677890777588,0.137,4.290403842926025
4.381979942321777,0.1414,5.106948375701904
4.588522911071777,0.1271,5.674985885620117
4.562192916870117,0.0924,5.45579719543457
4.563631057739258,0.1017,5.767858505249023
4.789729118347168,0.1074,5.501256465911865
4.660177707672119,0.1022,5.006091594696045
4.681063175201416,0.1196,5.696112632751465
4.648233890533447,0.1209,5.0401692390441895
4.466654300689697,0.121,4.4545464515686035
4.5019917488098145,0.1331,5.139031887054443
4.782596588134766,0.1313,5.472760200500488
4.998414516448975,0.1308,5.746657371520996
5.331909656524658,0.1079,6.965152263641357
5.495099067687988,0.1242,8.347647666931152
5.9880781173706055,0.1274,7.933266639709473
7.802487850189209,0.1293,12.31696891784668
8.402639389038086,0.0893,15.57477855682373
10.868681907653809,0.0516,13.477529525756836
11.50619888305664,0.0795,22.569692611694336
12.949789047241211,0.1373,22.350025177001953
12.930524826049805,0.1455,24.942537307739258
15.975955963134766,0.0454,40.7852897644043
21.132482528686523,0.0792,89.86604309082031
23.964815139770508,0.1088,107.06812286376953
23.89229965209961,0.1367,116.81576538085938
28.451698303222656,0.1362,98.6722412109375
26.74147605895996,0.0876,139.81524658203125
34.21139144897461,0.098,169.00088500976562
30.553815841674805,0.0695,194.8109130859375
43.20196533203125,0.0669,248.5892791748047
40.983421325683594,0.0655,167.26406860351562
36.9659423828125,0.1029,146.06564331054688
44.49993896484375,0.0948,187.79559326171875
51.89816665649414,0.0737,241.32228088378906
47.288333892822266,0.0969,212.77554321289062
51.30234909057617,0.169,166.3333282470703
51.95368194580078,0.0508,170.44735717773438
48.22676086425781,0.0607,127.33180236816406
48.7269172668457,0.1606,147.19686889648438
44.80849838256836,0.1597,142.18785095214844
47.72151565551758,0.1417,167.4512939453125
46.54798889160156,0.2517,210.40476989746094
47.44023895263672,0.1763,274.2440490722656
50.0728645324707,0.2279,254.22705078125
51.04875946044922,0.1931,270.3110046386719
49.632659912109375,0.2163,302.8346862792969
46.7243537902832,0.2179,313.4426574707031
47.626155853271484,0.1605,268.5594482421875
47.29822540283203,0.1253,283.8657531738281
45.50477600097656,0.1358,225.1376495361328
37.84197235107422,0.1238,441.2542419433594
43.09928512573242,0.0997,581.61572265625
