L num,Noiseless_acc_test,Proposed_acc_test,DC_full_acc_test,NoDS_acc_test,NoRIS_acc_test
10,0.8514300000000001,0.2422566666666667,0.10454999999999999,0.09376333333333335,0.13344333333333333
20,0.8520633333333335,0.47518666666666665,0.2334233333333333,0.13164,0.12466666666666669
30,0.8513633333333334,0.7695666666666667,0.45587999999999995,0.2996033333333334,0.11295000000000002
40,0.8533862068965519,0.841851724137931,0.5812413793103449,0.47364482758620696,0.1389793103448276
50,0.8284846153846155,0.850923076923077,0.6061884615384614,0.5387307692307692,0.11174230769230771
60,0.8522478260869566,0.8508,0.589591304347826,0.6643347826086956,0.12035652173913043
